Note- This information is updated periodically. Sacramento Food Bank & Family Services relies on partner agencies to help provide us with current,,,,,,,
information. Please call ahead if possible to verify details and eligibility.,,,,,,,
Agency Name,Site Address,"Phone
Number",Food Distribution Day(s),Food Distribution Time,"Zip
Code",Neighborhood,Notes
"Carmichael
Presbyterian
Church","5645 Marconi Ave, Carmichael, CA
95608",(916) 483-9232,Mon - Fri,"2:00PM -
3:30PM",95608,Carmichael,Food distribution & Congregate meal 3rd Saturday
S.V.D.P. Our Lady of Assumption,"5057 Cottage Way, Carmichael, CA
95608",(916) 481-6352,Every Tues & Thur,"9:00AM -
10:50AM",95608,Carmichael,Food distribution
"Catholic Ladies
Relief Society","7817 Old Auburn Rd, Citrus Heights, CA
95610",(916) 723-2494,Mon - Fri,"9:00AM -
9:30AM",95610,Citrus Heights,Call in for pick up time
"Sunrise Christian
Food Ministry","5901 San Juan Ave, Citrus Hights, CA
95610",(916) 965-5431,Mon - Fri,"11:30AM -
3:00PM",95610,Cirtus Heights,USDA commodities
"Atonement
Lutheran","9242 Kiefer Blvd, Sacramento, CA
95826",(916) 363-8642,3rd Tues,"10:00AM -
12:00PM",95826,Rosemont,USDA commodities
"Emanuel United
Methodist Church","5954 44th St, Sacramento, CA
95823",(916) 421-9712,Every Tues,"11:30AM -
1:00PM",95824,South Sacramento,Food distribution
Seniors for Seniors Foundation,"116 Elwin Ave, Elverta, CA 95626",(916) 991-8529,2nd Tues,"10:00AM -
12:00PM",95626,Elverta,USDA commodities
"Twin Lakes Food
Bank","327 Montrose Dr, Folsom, CA 95630",(916) 985-6232,"Tue, Wed, Thur","Tue 9:00AM -
12:30PM,
4:30PM -
7:00PM, Wed
9:00AM -
12:00PM, Thurs
9:00AM -
12:30PM",95630,Folsom,USDA commodities
"First Baptist
Church of Galt","653 A Street, Galt, CA 95632",(209) 745-4665,4th Fri,"10:00AM -
11:00AM",95632,Galt,Food distribution
Project Love,"550 Industrial Dr. Galt, CA 95632",(209) 263-0626,Every Friday,"4:00PM -
6:00PM",95632,Galt,Food distribution
"South County
Services","600 Chabolla Ave, Galt, CA 95632",(209) 745-9174,3rd Thur,"10:00AM -
11:00AM",95632,Galt,"USDA commodities - emergency food bag
M-F 8:00AM - 5:00PM"
Feeding God's Children Fellowship,"5808 Watt Ave, North
Highlands, CA 95660",N/A,Every Wed,10:30AM,95660,North Highlands,Food distribution
"New Testament
Baptist Church","6746 34th St, North
Highlands, CA 95660",(916) 344-0440,2nd & 4th Wed,"12:00PM -
2:00PM",95660,North Highlands,Food distribution
North Highlands Christian Food Ministry,"6125 Watt Ave, North
Highlands, CA 95660",N/A,Mon - Wed,"9:30AM -
12:00PM",95660,North Highlands,USDA commodities
"Orangevale Food
Bank","6483 Main Ave, Orangevale, CA
95662",(916) 304-3663,Wed and Thur,"Wed: 4:30 -
6:30 PM Thur
9AM - 12:30PM",95662,Orangevale,USDA commodities
Orangevale SDA Community Church,"5810 Pecan Ave, Orangevale, CA
95662",(916) 967-2838,Every Tues,"9:00AM -
12:00PM",95662,Orangevale,Food distribution
"Fisher's of Men
Worldwide","743 M Street Rio
Linda, CA 95673",(916) 912-1316,"Thur, Sat, Sun","Thur 6PM-
8PM/Sat 1PM-
3PM/Sun 3PM-
6PM",95673,Rio Linda,Food distribution
REACH,"6420 Rio Linda Blvd, Rio Linda, CA 95673",N/A,Every Thur,"10:00AM -
12:00PM",95673,Rio Linda,Food distribution
S.V.D.P. St. Anthony's,"14012 Walnut Ave. Walnut Grove, CA
95690",(916) 776-1330,2nd Thur,"8:00AM -
10:00AM",95690,Walnut Grove,USDA commodities
S.V.D.P. Good Shepard Conference,"9539 Racquet Court, Elk Grove, CA 95758",(916) 684-5722,Every Mon,10:00AM,95758,Elk Grove,Food distribution
"Elk Grove Food
Bank","9820 Dino Drive Elk
Grove, CA 95624",(916) 685-8453,Mon - Fri,"10:00AM -
2:00PM",95624,Elk Grove,USDA commodities
Cordova Community Food Locker,"10497 Coloma Rd, Rancho Cordova, CA
95670",(916) 364-8973,"Mon, Wed, Fri",9:30M -1:30PM,95760,Rancho Cordova,USDA commodities
Highway & Hedges Army of God Ministry,"11082 Coloma Road
#6 Rancho Cordova, CA 95760",(916) 799-4626,Every Tues,"3:00PM -
7:00PM",95760,Rancho Cordova,Food distribution
"Central Downtown
Food Basket","1701 L Street
Sacramento, CA
95811",(916) 761-5624,"2nd, 3rd, 4th
Thur","10:00AM -
12:00PM & 3rd
Thur 5:00PM -
6:30PM",95811,Midtown,USDA commodities
Dream Center,"1516 C St, Sacramento, CA
95814",(916) 448-3733,2nd & 4th Sat,"7:30AM -
10:30AM",95814,Midtown,Food distribution
"The Salvation
Army","1200 North B St, Sacramento, CA
95814 & 3213
Orange Grove Ave, North Highlands CA
95660","Midtown (916)
443-1088, North
Highlands N/A","Daily (Midtown), Mon - Fri (North Highlands)","7:00AM -
6:00PM (Midtown shelter),
9:00AM -
4:30PM (North
Highlands)","95814,
95838","Midtown & North
Highlands",Midtown - Congregate meal          North Highlands - USDA commodities
"Redeemed Christian Church of God, Redemption Parish","2740 Connie Dr, Sacramento, CA
95815",N/A,3rd Sun,"1:00PM -
2:00PM",95815,Del Paso Heights,Food distribution
"Alano North, Inc.","940 Eleanor Ave, Sacramento, CA
95815",N/A,2nd & 4th Mon,"9:00AM -
11:30AM",95815,Del Paso Heights,Food distribution
Saint Paul COGIC,"2771 Grove Ave,
Sacramento, CA
95815",N/A,Every Wed,11:00AM,95815,Arden-Arcade,Food distribution
Romanian Apostolic Faith in Jesus,"1824 Tribute Rd. Suite F, Sacramento, CA 95815",,"Mon, Thur, Sunday","Mon 6:00PM -
9:00PM, Thur
6:00PM -
10:00PM",95815,Arden-Arcade,Food distribution
Hart Center,"915 27th Street
Sacramento, CA
95816",(916) 808-5462,3rd Wed,12:00PM,95816,Midtown,"USDA commodities,
Healthy Seniors
Program"
"River City Food
Bank","1800 28th Street
Sacramento, CA
95816",(916) 446-2627,Mon - Fri,"11:30AM -
3:00PM",95816,Midtown,USDA commodities
"Blessed Faith
Ministries","3400 Y Street, Sacramento, CA
95817",(916) 455-6270,Every Thur,"10:00AM -
12:00PM",95817,Oak Park,Food distribution
City of Refuge,"3472 38th Street, Sacramento, CA
95817",(916) 440-6604,Every day,Varies,95817,Oak Park,Congregate meal
"El-Shaddai World
Ministries","3307 Broadway
Sacramento, CA
95817",(916) 736-6200,"Wed, Thur, Sat",Varies,95817,Oak Park,Food distribution
"New St. Bethel
Baptist Church","4201 8th Ave, Sacramento, CA
95817",(916) 456-3077,Every Tues,"8:00AM -
12:00PM",95817,Oak Park,Food distribution
